"","x"
"L_gent_Pop152","5"
"L_gent_Pop153","1"
"L_gent_Pop155","1"
"L_gent_Pop156","1"
"L_gent_Pop158","1"
"L_gent_Pop159","1"
"L_gent_Pop16","1"
"L_gent_Pop160","1"
"L_gent_Pop161","1"
"L_gent_Pop163","1"
"L_gent_Pop164","1"
"L_gent_Pop165","4"
"L_gent_Pop166","4"
"L_gent_Pop167","4"
"L_gent_Pop168","2"
"L_gent_Pop169","2"
"L_gent_Pop17","3"
"L_gent_Pop170","4"
"L_gent_Pop171","4"
"L_gent_Pop172","4"
"L_gent_Pop173","4"
"L_gent_Pop174","4"
"L_gent_Pop175","6"
"L_gent_Pop176","6"
"L_gent_Pop177","3"
"L_gent_Pop179","6"
"L_gent_Pop18","3"
"L_gent_Pop180","6"
"L_gent_Pop182","5"
"L_gent_Pop183","6"
"L_gent_Pop184","6"
"L_gent_Pop185","6"
"L_gent_Pop186","5"
"L_gent_Pop187","5"
"L_gent_Pop188","6"
"L_gent_Pop189","5"
"L_gent_Pop19","3"
"L_gent_Pop191","4"
"L_gent_Pop192","4"
"L_gent_Pop194","4"
"L_gent_Pop195","2"
"L_gent_Pop196","4"
"L_gent_Pop197","4"
"L_gent_Pop198","4"
"L_gent_Pop199","4"
"L_gent_Pop20","3"
"L_gent_Pop22","3"
"L_gent_Pop23","1"
"L_gent_Pop24","4"
"L_gent_Pop25","4"
"L_gent_Pop26","2"
"L_gent_Pop27","4"
"L_gent_Pop28","4"
"L_gent_Pop29","4"
"L_gent_Pop30","4"
"L_gent_Pop31","2"
"L_gent_Pop32","4"
"L_gent_Pop33","2"
"L_gent_Pop34","2"
"L_gent_Pop35","2"
"L_gent_Pop36","2"
"L_gent_Pop37","2"
"L_gent_Pop38","2"
"L_gent_Pop4","4"
"L_gent_Pop40","2"
"L_gent_Pop43","2"
"L_gent_Pop45","4"
"L_gent_Pop46","4"
"L_gent_Pop47","4"
"L_gent_Pop48","4"
"L_gent_Pop49","4"
"L_gent_Pop5","2"
"L_gent_Pop50","4"
"L_gent_Pop51","4"
"L_gent_Pop54","4"
"L_gent_Pop55","4"
"L_gent_Pop57","4"
"L_gent_Pop58","4"
"L_gent_Pop59","4"
"L_gent_Pop6","2"
"L_gent_Pop60","4"
"L_gent_Pop61","4"
"L_gent_Pop62","4"
"L_gent_Pop63","4"
"L_gent_Pop64","3"
"L_gent_Pop66","6"
"L_gent_Pop67","1"
"L_gent_Pop69","3"
"L_gent_Pop7","2"
"L_gent_Pop70","1"
"L_gent_Pop71","1"
"L_gent_Pop72","1"
"L_gent_Pop73","3"
"L_gent_Pop75","6"
"L_gent_Pop76","6"
"L_gent_Pop77","6"
"L_gent_Pop78","6"
"L_gent_Pop79","3"
"L_gent_Pop8","4"
"L_gent_Pop80","6"
"L_gent_Pop81","6"
"L_gent_Pop82","3"
"L_gent_Pop83","6"
"L_gent_Pop84","3"
"L_gent_Pop85","3"
"L_gent_Pop86","3"
"L_gent_Pop9","2"
"L_gent_Pop90","3"
"L_gent_Pop91","3"
"L_gent_Pop92","3"
"L_gent_Pop93","3"
"L_gent_Pop95","2"
"L_gent_Pop97","2"
"L_gent_Pop98","2"
